tempmax,tempmin,temp,humidity,tempwet,precip(Rainfall),windspeed,cloudcover,visibility,conditions,Weather,description
30,24,26.8,90.5,25.5,15.3,13,69.4,8.4,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
33,25,28.7,79.7,25.7,0.3,13,29.6,9.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
33.3,25,29,77.1,25.6,0,18.4,21.6,10.7,Partially cloudy,Cloudy,Partly cloudy throughout the day.
33,26,28.9,81.5,26.2,0,11.2,46.2,9.4,Partially cloudy,Cloudy,Partly cloudy throughout the day.
35,26,30.2,78.1,26.9,0,13,22.2,9.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
29.1,24,26.8,89.6,25.4,42.2,18.4,60.7,8.7,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
28,24,25,95.3,24.4,40,25.9,91.6,8,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
31,24,26.7,86.4,24.8,5.4,11.2,48.3,9.4,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
32,23,27.8,79.2,24.8,0,11.2,20.3,9.5,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32.7,24.8,28.7,76.4,25.2,0,11.2,19,8.5,Clear,Sunny,Clear conditions throughout the day.
30,25,27.5,86,25.5,6.7,13,42,7.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
33,24.8,28.8,78.7,25.7,0,11.2,22.8,8.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32,25,27.4,87.6,25.6,10.7,25.9,43.8,9.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
28,25,25.8,91.9,24.8,17.4,11.2,71.3,9.4,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
31,24,27.1,85.5,25,5.5,18.4,59.5,9.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
32,23,26.8,83.8,24.5,1.4,11.2,42.8,9.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
33,24,28.2,77.1,24.8,1,9.8,20.9,10.8,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
33,24,28.4,76,24.8,0.4,9.4,22.7,9.9,Partially cloudy,Cloudy,Partly cloudy throughout the day.
32.1,25,27,85.4,24.9,3.5,33.5,33.9,9.3,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
30.4,24,27.1,70.5,23,0,20.5,21.1,11.5,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28.4,23,25.5,63,20.3,0,24.1,46.4,11.2,Partially cloudy,Cloudy,Partly cloudy throughout the day.
26,22,23.6,60.9,18.3,0,24.1,30.2,10.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
22.5,18.6,20.2,77.1,17.3,1.5,22.3,76,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with afternoon rain.
22,19.9,20.9,77.3,18,0.7,18.4,68.1,10,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with early morning rain.
26,20.7,22.6,76.1,19.5,0,13,52.2,9.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28.2,20.9,24.7,70.4,20.6,0,14.8,28.1,9.3,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27.6,23.9,25.2,63.9,20.2,0,14.8,23.8,10.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
28,24,25.5,63.2,20.3,0,14.8,21.8,10.1,Partially cloudy,Cloudy,Partly cloudy throughout the day.
27.8,22,25.2,66.9,20.6,0,10.4,43.8,10,Partially cloudy,Cloudy,Partly cloudy throughout the day.
24,22,22.8,92.9,21.9,2.2,11.2,94,6.8,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain.
23,21,21.9,95,21.3,10.5,14.8,94.2,7.5,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
21.2,20,20.5,91.6,19.5,8.4,20.5,96.2,8.4,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
20,19,19.5,92.7,18.6,0.8,16.6,95.2,8.4,Overcast,Cloudy,Cloudy skies throughout the day.
19.1,17.8,18.2,93.3,17.4,2.8,18.4,95.6,7.9,"Rain, Overcast",Rainy,Cloudy skies throughout the day with rain.
23,17.8,19.9,84.3,17.9,9.5,14.8,97.7,9.6,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
24.1,19,21.4,80.8,19,0,11.2,79.9,10,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25.1,20,22.7,85.9,20.9,0,14.8,78.6,8.8,Partially cloudy,Cloudy,Partly cloudy throughout the day.
25,21,22.8,91.9,21.8,14.9,13,85.7,6.9,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with rain.
29.1,22.8,25.7,87.1,24,17.3,22.3,83.2,9.5,"Rain, Partially cloudy",Rainy,Partly cloudy throughout the day with a chance of rain throughout the day.
28,24,25.3,94.5,24.5,14.7,11.2,93,7,"Rain, Overcast",Rainy,Cloudy skies throughout the day with a chance of rain throughout the day.
24.4,22,23.4,92.1,22.3,0.4,16.6,94,7.7,Overcast,Cloudy,Cloudy skies throughout the day.
